                                     | Core 0    
  Instructions                       |     121729
  Cycles                             |     462042
  IPC                                |       0.26
  Time (ns)                          |     173700
  Idle time (ns)                     |        -26
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |      22023
  num incorrect                      |       1503
  misprediction rate                 |      6.39%
  mpki                               |      12.35
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |      15330
    num misses                       |         52
    miss rate                        |      0.34%
    mpki                             |       0.43
  D-TLB                              |           
    num accesses                     |      40254
    num misses                       |        118
    miss rate                        |      0.29%
    mpki                             |       0.97
  L2 TLB                             |           
    num accesses                     |        170
    num misses                       |        121
    miss rate                        |     71.18%
    mpki                             |       0.99
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      15330
    num cache misses                 |        872
    miss rate                        |      5.69%
    mpki                             |       7.16
  Cache L1-D                         |           
    num cache accesses               |      40254
    num cache misses                 |       1804
    miss rate                        |      4.48%
    mpki                             |      14.82
  Cache L2                           |           
    num cache accesses               |       2714
    num cache misses                 |       2476
    miss rate                        |     91.23%
    mpki                             |      20.34
  Cache L3                           |           
    num cache accesses               |       2516
    num cache misses                 |       2475
    miss rate                        |     98.37%
    mpki                             |      20.33
DRAM summary                         |           
  num dram accesses                  |       2475
  average dram access latency (ns)   |      55.36
  average dram queueing delay        |       1.93
  average dram bandwidth utilization |     12.00%
Coherency Traffic                    |           
  num loads from dram                |       1118
  num loads from dram cache          |          0
  num loads from remote cache        |          0
