                                     | Core 0    
  Instructions                       |    6728851
  Cycles                             |    3561740
  IPC                                |       1.89
  Time (ns)                          |    1339000
  Idle time (ns)                     |         -3
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |     259678
  num incorrect                      |       3961
  misprediction rate                 |      1.50%
  mpki                               |       0.59
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |     680639
    num misses                       |         62
    miss rate                        |      0.01%
    mpki                             |       0.01
  D-TLB                              |           
    num accesses                     |    3650252
    num misses                       |        107
    miss rate                        |      0.00%
    mpki                             |       0.02
  L2 TLB                             |           
    num accesses                     |        169
    num misses                       |        147
    miss rate                        |     86.98%
    mpki                             |       0.02
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |     680639
    num cache misses                 |        900
    miss rate                        |      0.13%
    mpki                             |       0.13
  Cache L1-D                         |           
    num cache accesses               |    3650252
    num cache misses                 |      14819
    miss rate                        |      0.41%
    mpki                             |       2.20
  Cache L2                           |           
    num cache accesses               |      15784
    num cache misses                 |       4439
    miss rate                        |     28.12%
    mpki                             |       0.66
  Cache L3                           |           
    num cache accesses               |       5505
    num cache misses                 |       4402
    miss rate                        |     79.96%
    mpki                             |       0.65
DRAM summary                         |           
  num dram accesses                  |       4402
  average dram access latency (ns)   |      54.38
  average dram queueing delay        |       0.95
  average dram bandwidth utilization |      2.00%
Coherency Traffic                    |           
  num loads from dram                |       1281
  num loads from dram cache          |          0
  num loads from remote cache        |          0
