                                     | Core 0    
  Instructions                       |    9979121
  Cycles                             |   19090288
  IPC                                |       0.52
  Time (ns)                          |    7176800
  Idle time (ns)                     |       -100
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |     301064
  num incorrect                      |       1544
  misprediction rate                 |      0.51%
  mpki                               |       0.15
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    1097185
    num misses                       |         52
    miss rate                        |      0.00%
    mpki                             |       0.01
  D-TLB                              |           
    num accesses                     |    4596339
    num misses                       |         94
    miss rate                        |      0.00%
    mpki                             |       0.01
  L2 TLB                             |           
    num accesses                     |        146
    num misses                       |        134
    miss rate                        |     91.78%
    mpki                             |       0.01
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    1097185
    num cache misses                 |          0
    miss rate                        |      0.00%
    mpki                             |       0.00
  Cache L1-D                         |           
    num cache accesses               |    4596339
    num cache misses                 |          0
    miss rate                        |      0.00%
    mpki                             |       0.00
  Cache L2                           |           
    num cache accesses               |          0
    num cache misses                 |          0
    miss rate                        |       inf%
    mpki                             |       0.00
  Cache L3                           |           
    num cache accesses               |          0
    num cache misses                 |          0
    miss rate                        |       inf%
    mpki                             |       0.00
DRAM summary                         |           
  num dram accesses                  |          0
  average dram access latency (ns)   |        inf
  average dram queueing delay        |       0.00
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
