CPI                  Core 0     Core 1     Core 2     Core 3     Core 4     Core 5     Core 6     Core 7     Core 8   
base                   0.34       0.32       0.32       0.31       0.31       0.36       0.33       0.32       0.32
dispatch_width         0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
rs_full                0.40       0.39       0.42       0.39       0.40       0.35       0.37       0.39       0.40
depend-int             0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
depend-fp              0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
depend-branch          0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue-port0            0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue-port1            0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue-port2            0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue-port34           0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue-port5            0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue-port05           0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue-port015          0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
serial                 0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
smt                    0.75       0.74       0.76       0.75       0.74       0.66       0.74       0.74       0.75
branch                 0.13       0.14       0.13       0.13       0.14       0.14       0.13       0.13       0.13
itlb                   0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
dtlb                   0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
ifetch                 2.60       2.56       2.55       2.56       2.57       2.63       2.65       2.66       2.64
mem-l1d                0.14       0.15       0.14       0.14       0.15       0.14       0.14       0.14       0.14
mem-l2                 0.05       0.04       0.05       0.04       0.04       0.04       0.03       0.04       0.04
mem-l3                 0.34       0.36       0.35       0.36       0.36       0.31       0.35       0.33       0.35
mem-l4                 0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
mem-remote             0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
mem-nuca               0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
mem-dram-cache         0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
mem-dram               1.72       1.70       1.67       1.70       1.69       1.69       1.78       1.63       1.74
sync-futex             0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
sync-mutex             0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
sync-cond              0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
sync-barrier           0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
sync-join              0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
sync-pause             0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
sync-sleep             0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
sync-syscall           0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
sync-unscheduled        0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
sync-memaccess         0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
sync-recv              0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
dvfs-transition        0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
imbalance-start        0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
imbalance-end         -0.01      -0.00      -0.02      -0.00      -0.00      -0.00      -0.00      -0.03      -0.01

total                  6.46       6.40       6.37       6.37       6.41       6.31       6.53       6.37       6.51
